budget,genres,popularity,production_companies,revenue,runtime,title,vote_average,vote_count,release_year,release_month,adj_revenue,adj_budget
6000000,"['Comedy', 'Drama', 'Fantasy']",7.351,"['Partizan Films', 'Gaumont', 'France 3 Cin??ma', 'TPS Star', 'Mikado Film', 'Canal+']",9524340.0,105.0,The Science of Sleep,7.0,502.0,2006,11,12667372,7980000
7800000,"['Crime', 'Thriller']",9.805,"['France 2 Cin??ma', 'Canal+', 'Fid??lit?? Productions', 'Gimages', 'FOZ', 'Headforce Ltd.']",22441323.0,102.0,Swimming Pool,6.4,430.0,2003,5,32764331,11388000
50000000,"['Action', 'Comedy', 'Crime']",17.037,"['Paramount', 'Eddie Murphy Productions']",119208989.0,105.0,Beverly Hills Cop III,5.9,1193.0,1994,5,215768270,90500000
10000000,"['Comedy', 'Drama', 'Mystery', 'Romance']",10.784,"['Focus Features', 'Bac Films', 'Five Roses']",46720491.0,106.0,Broken Flowers,6.9,873.0,2005,5,64007072,13700000
80000000,"['Fantasy', 'Comedy']",30.375,"['Pit Bull Productions', 'Spyglass Entertainment', 'Universal Pictures', 'Shady Acres Entertainment']",484592874.0,101.0,Bruce Almighty,6.7,8316.0,2003,5,707505596,116800000
12000000,"['Romance', 'Drama']",9.386000000000001,"['Revolution Films', 'Rhombus Media']",1381665.0,112.0,Snow Cake,7.1,113.0,2006,8,1837614,15960000
100000000,"['Action', 'Fantasy', 'Mystery']",22.682,"['Village Roadshow Pictures', 'Di Novi Pictures', 'Frantic Films', 'Maple Shade Films', 'Catwoman Films', 'Warner Bros. Pictures', 'DC Entertainment', 'DC Comics']",82102379.0,104.0,Catwoman,4.6,2464.0,2004,7,116585378,142000000
12500000,"['Action', 'Thriller', 'Crime', 'Romance']",14.995,"['Morgan Creek Productions', 'Davis Films', 'August Entertainment', 'Warner Bros. Pictures']",12281551.0,120.0,True Romance,7.6,1798.0,1993,9,22843684,23250000
46000000,"['Crime', 'Mystery', 'Thriller']",14.822000000000001,"['Alcon Entertainment', 'Witt/Thomas Productions', 'Section Eight']",113714830.0,118.0,Insomnia,6.9,3254.0,2002,5,169435096,68540000
4361898,"['Comedy', 'Romance']",8.075,['icon'],3031801.0,92.0,Mambo Italiano,6.1,56.0,2003,6,4426429,6368371
25000000,"['Thriller', 'Crime', 'Drama', 'Mystery']",19.56,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'NPV Entertainment', 'Malpaso Productions']",156822020.0,138.0,Mystic River,7.7,4476.0,2003,1,228960149,36500000
33000000,"['Action', 'Crime', 'Thriller']",16.628,['New Line Cinema'],62022014.0,105.0,Snakes on a Plane,5.3,1199.0,2006,6,82489278,43890000
12000000,"['Crime', 'Drama', 'Thriller']",8.638,"['Recorded Picture Company', 'Office Kitano', 'Bandai Visual', 'Fuzzy Bunny Films (I)', 'Little Brother Inc.', 'Tokyo FM Broadcasting Co.']",15250000.0,114.0,Brother,7.1,244.0,2000,9,23790000,18720000
63000000,"['Adventure', 'Science Fiction']",23.32,"['Universal Pictures', 'Amblin Entertainment']",920100000.0,127.0,Jurassic Park,7.9,12002.0,1993,11,1711386000,117180000
73000000,"['Adventure', 'Action', 'Science Fiction']",1.806,"['Universal Pictures', 'Amblin Entertainment', 'Digital Image Associates']",618638999.0,129.0,The Lost World: Jurassic Park,6.5,6036.0,1997,5,1033127128,121910000
93000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",1.392,"['Universal Pictures', 'Amblin Entertainment']",368780809.0,92.0,Jurassic Park III,6.1,5131.0,2001,7,560546829,141360000
37000000,['Drama'],15.139000000000001,"['Ghoulardi Film Company', 'The Magnolia Project', 'New Line Cinema']",48451803.0,189.0,Magnolia,7.7,2353.0,1999,10,78007402,59570000
4800000,"['Comedy', 'Drama']",8.923,"['WDR', 'ARTE', 'X Filme Creative Pool']",79384880.0,121.0,Good Bye Lenin!,7.5,1657.0,2003,9,115901924,7008000
3500000,"['Comedy', 'Drama']",10.009,"['Channel Four Films', 'JVC', 'Le Studio Canal+', 'Locus Solus Entertainment', 'Pyramide Productions', 'Victor Musical Industries, Inc.', 'Pandora Film']",2015810.0,128.0,Night on Earth,7.5,520.0,1991,12,3971145,6895000
7000000,"['Comedy', 'Drama']",8.561,"['Stillking Films', 'Warner Independent Pictures (WIP)', 'Telegraph Films', 'Big Beach']",2697930.0,106.0,Everything is Illuminated,7.3,540.0,2005,9,3696164,9590000
2700000,"['Comedy', 'Drama']",7.045,['Claussen+W??bke Filmproduktion'],2085166.0,98.0,Summer Storm,6.9,139.0,2004,2,2960935,3834000
65000000,"['Drama', 'Thriller', 'Mystery']",22.706,"['Stanley Kubrick Productions', 'Hobby Films', 'Warner Bros. Pictures', 'Pole Star']",162091208.0,159.0,Eyes Wide Shut,7.4,4064.0,1999,7,260966844,104650000
35000000,"['Comedy', 'Drama', 'Romance']",28.127,"['Fox 2000 Pictures', 'Dune Entertainment', 'Major Studio Partners', 'Peninsula Films']",326551094.0,109.0,The Devil Wears Prada,7.4,9054.0,2006,6,434312955,46550000
80000000,"['Action', 'Fantasy']",29.069000000000003,"['PolyGram Filmed Entertainment', 'Warner Bros. Pictures', 'DC Entertainment', 'DC Comics']",280000000.0,126.0,Batman Returns,6.8,4529.0,1992,6,534800000,152800000
14000000,"['Drama', 'Thriller', 'Crime']",11.959000000000001,"['Circle Films', '20th Century Fox']",5080409.0,115.0,Miller's Crossing,7.5,1078.0,1990,9,10414838,28699999
45000000,"['Crime', 'Drama', 'Thriller']",16.708,"['40 Acres and a Mule Filmworks', 'Imagine Entertainment', 'Universal Pictures']",186003591.0,129.0,Inside Man,7.4,4069.0,2006,3,247384776,59850000
25000000,"['Comedy', 'Drama', 'Romance']",14.998,"['Fat Free', 'Miramax', 'David Brown Productions']",152500343.0,121.0,Chocolat,6.9,2496.0,2000,2,237900535,39000000
30000000,"['Action', 'Crime', 'Thriller']",23.412,"['Super Cool ManChu', 'Miramax', 'A Band Apart']",152159461.0,136.0,Kill Bill: Vol. 2,7.9,10435.0,2004,4,216066434,42600000
70000000,"['Adventure', 'Science Fiction', 'Action', 'Horror']",27.715,"['Revolution Sun Studios', 'Impact Pictures', 'Studio Babelsberg', 'Davis Entertainment', 'Stillking Films', 'Brandywine Productions', 'Lonlink Productions', 'Kut Productions', 'Inside Track Films', 'Charenton Productions Limited', '20th Century Fox']",177427090.0,101.0,AVP: Alien vs. Predator,5.8,3019.0,2004,12,251946467,99400000
7000000,"['Crime', 'Drama']",11.14,"[""Cooper's Town Productions"", 'Infinity Media', 'A-Line Pictures', 'Eagle Vision']",49084830.0,114.0,Capote,7.0,994.0,2005,9,67246217,9590000
8000000,"['Drama', 'Crime']",9.61,['Miramax'],529766.0,116.0,Things to Do in Denver When You're Dead,6.6,246.0,1995,1,932388,14080000
2500000,"['Comedy', 'Drama', 'Romance']",11.91,"['Fox Searchlight Pictures', 'Double Feature Films', 'Jersey Films', 'Camelot Pictures', ""Large's Ark Productions""]",26781723.0,102.0,Garden State,7.2,1300.0,2004,7,38030046,3550000
49000000,"['Thriller', 'Mystery']",25.116999999999997,"['Carolco Pictures', 'StudioCanal']",352927224.0,127.0,Basic Instinct,6.8,2467.0,1992,3,674090997,93590000
10000000,['Drama'],11.902999999999999,"['Walt Disney Pictures', 'Asymmetrical Productions', 'Channel Four Films', 'Les Films Alain Sarde', 'StudioCanal', 'The Picture Factory', 'The Straight Story, Inc', 'Canal+', 'CiBy 2000']",6203044.0,112.0,The Straight Story,7.7,983.0,1999,10,9986900,16100000
2600000,['Drama'],12.187000000000001,"['Kasso Productions', 'La Sept Cin??ma', 'Les Productions Lazennec', 'Canal+', 'StudioCanal']",15300000.0,98.0,La Haine,8.1,2452.0,1995,5,26928000,4576000
27000000,"['Drama', 'Romance', 'War']",16.885,"['Miramax', 'Tiger Moth Productions']",231976425.0,162.0,The English Patient,7.2,1440.0,1996,5,396679686,46170000
180000000,"['Adventure', 'Family', 'Fantasy']",58.98,"['Walt Disney Pictures', 'Walden Media']",745013115.0,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,7750.0,2005,7,1020667967,246600000
100000000,"['Action', 'Crime', 'Fantasy']",24.406,"['DC Comics', 'Warner Bros. Pictures', 'DC Entertainment', 'PolyGram Filmed Entertainment']",336529144.0,121.0,Batman Forever,5.4,3751.0,1995,6,592291293,176000000
125000000,"['Science Fiction', 'Action', 'Fantasy']",29.025,"['DC Comics', 'PolyGram Filmed Entertainment', 'Warner Bros. Pictures', 'DC Entertainment']",238207122.0,125.0,Batman & Robin,4.3,3632.0,1997,6,397805893,208750000
50000000,"['Adventure', 'Comedy', 'Drama']",12.705,"['American Empirical Pictures', 'Touchstone Pictures', 'Scott Rudin Productions']",34808403.0,119.0,The Life Aquatic with Steve Zissou,7.2,1931.0,2004,10,49427932,71000000
